Block Name,Point ID,nu,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,0,0.000226797,0.000128419,0,-0.3,9,9.005,0.000127126,-2.04125e-05,0.0262481,0.0262485
internalMesh,1,0.000236561,0.000128407,0,-0.271124,9,9.00408,0.000115584,-2.47233e-05,0.0283372,0.0283375
internalMesh,2,0.000236561,0.000128407,0,-0.271124,9,9.00408,0.000115584,-2.47233e-05,0.0283372,0.0283375
internalMesh,3,0.000236561,0.000128407,0,-0.271124,9,9.00408,0.000115584,-2.47233e-05,0.0283372,0.0283375
internalMesh,4,0.000241967,0.000128402,0,-0.258241,9,9.0037,0.000109174,-2.66855e-05,0.0291988,0.029199
internalMesh,5,0.000248827,0.000128396,0,-0.241895,9,9.00325,0.000101041,-2.91751e-05,0.0302919,0.0302921
internalMesh,6,0.000248827,0.000128396,0,-0.241895,9,9.00325,0.000101041,-2.91751e-05,0.0302919,0.0302921
internalMesh,7,0.000263557,0.000128388,0,-0.212352,9,9.00251,8.57794e-05,-3.32584e-05,0.0319463,0.0319465
internalMesh,8,0.000263557,0.000128388,0,-0.212352,9,9.00251,8.57794e-05,-3.32584e-05,0.0319463,0.0319465
internalMesh,9,0.000281734,0.00012838,0,-0.182533,9,9.00185,7.10149e-05,-3.68249e-05,0.0333087,0.0333088
internalMesh,10,0.000281734,0.00012838,0,-0.182533,9,9.00185,7.10149e-05,-3.68249e-05,0.0333087,0.0333088
internalMesh,11,0.000299673,0.000128375,0,-0.159346,9,9.00141,6.05998e-05,-3.91493e-05,0.0341433,0.0341434
internalMesh,12,0.000299673,0.000128375,0,-0.159346,9,9.00141,6.05998e-05,-3.91493e-05,0.0341433,0.0341434
internalMesh,13,0.000299673,0.000128375,0,-0.159346,9,9.00141,6.05998e-05,-3.91493e-05,0.0341433,0.0341434
internalMesh,14,0.000304988,0.000128373,0,-0.152475,9,9.00129,5.75138e-05,-3.98381e-05,0.0343906,0.0343907
internalMesh,15,0.000336289,0.000128366,0,-0.12222,9,9.00083,4.56021e-05,-4.22953e-05,0.0352074,0.0352075
internalMesh,16,0.000336289,0.000128366,0,-0.12222,9,9.00083,4.56021e-05,-4.22953e-05,0.0352074,0.0352075
internalMesh,17,0.000336289,0.000128366,0,-0.12222,9,9.00083,4.56021e-05,-4.22953e-05,0.0352074,0.0352075
internalMesh,18,0.000349921,0.000128363,0,-0.113095,9,9.00071,4.25084e-05,-4.28656e-05,0.035379,0.035379
internalMesh,19,0.000381729,0.000128356,0,-0.0918044,9,9.00047,3.529e-05,-4.41963e-05,0.0357793,0.0357794
internalMesh,20,0.000381729,0.000128356,0,-0.0918044,9,9.00047,3.529e-05,-4.41963e-05,0.0357793,0.0357794
internalMesh,21,0.000446507,0.000128345,0,-0.0650864,9,9.00024,2.74529e-05,-4.53859e-05,0.0360887,0.0360887
internalMesh,22,0.000446507,0.000128345,0,-0.0650864,9,9.00024,2.74529e-05,-4.53859e-05,0.0360887,0.0360887
internalMesh,23,0.000446507,0.000128345,0,-0.0650864,9,9.00024,2.74529e-05,-4.53859e-05,0.0360887,0.0360887
internalMesh,24,0.000455761,0.000128343,0,-0.0612695,9,9.00021,2.63333e-05,-4.55558e-05,0.0361329,0.036133
internalMesh,25,0.00059374,0.00012833,0,-0.0306548,9,9.00005,1.82589e-05,-4.63961e-05,0.0363053,0.0363053
internalMesh,26,0.00059374,0.00012833,0,-0.0306548,9,9.00005,1.82589e-05,-4.63961e-05,0.0363053,0.0363053
internalMesh,27,0.000664811,0.000128318,0,0,9,9,1.06316e-05,-4.67814e-05,0.0363485,0.0363485
internalMesh,28,0.000664811,0.000128318,0,0,9,9,1.06316e-05,-4.67814e-05,0.0363485,0.0363485
internalMesh,29,0.000664811,0.000128318,0,0,9,9,1.06316e-05,-4.67814e-05,0.0363485,0.0363485
internalMesh,30,0.000664811,0.000128318,0,0,9,9,1.06316e-05,-4.67814e-05,0.0363485,0.0363485
internalMesh,31,0.000563375,0.0001283,0,0.0306548,9,9.00005,3.59784e-06,-4.68088e-05,0.0362879,0.0362879
internalMesh,32,0.000563375,0.0001283,0,0.0306548,9,9.00005,3.59784e-06,-4.68088e-05,0.0362879,0.0362879
internalMesh,33,0.000439907,0.000128282,0,0.0612695,9,9.00021,-2.20813e-06,-4.6453e-05,0.0360888,0.0360888
internalMesh,34,0.000439907,0.000128282,0,0.0612695,9,9.00021,-2.20813e-06,-4.6453e-05,0.0360888,0.0360888
internalMesh,35,0.000431471,0.000128281,0,0.0650864,9,9.00024,-2.72737e-06,-4.63464e-05,0.0360403,0.0360403
internalMesh,36,0.000431471,0.000128281,0,0.0650864,9,9.00024,-2.72737e-06,-4.63464e-05,0.0360403,0.0360403
internalMesh,37,0.000431471,0.000128281,0,0.0650864,9,9.00024,-2.72737e-06,-4.63464e-05,0.0360403,0.0360403
